City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
120,Saldanha,-33.0117,17.9442,69.8,73,0,17.27,ZA,2021-02-03 18:45:22
121,Garowe,8.4054,48.4845,67.86,43,0,12.84,SO,2021-02-03 18:40:45
122,Dunedin,-45.8742,170.5036,53.01,66,100,1.99,NZ,2021-02-03 18:45:23
123,Evensk,61.95,159.2333,11.61,91,100,43.62,RU,2021-02-03 18:45:23
124,Leua,48.2156,18.6071,46.0,98,100,7.78,SK,2021-02-03 18:45:23
125,Mount Gambier,-37.8333,140.7667,57.2,88,100,10.36,AU,2021-02-03 18:41:32
126,Lazaro Cardenas,17.9583,-102.2,81.97,63,13,8.16,MX,2021-02-03 18:45:23
127,Hammerfest,70.6634,23.6821,26.6,63,75,20.71,NO,2021-02-03 18:45:23
128,Kahului,20.8947,-156.47,75.2,64,40,26.46,US,2021-02-03 18:45:23
129,Alice Springs,-23.7,133.8833,68.0,28,72,6.58,AU,2021-02-03 18:44:54
130,Oistins,13.0667,-59.5333,82.4,65,75,26.46,BB,2021-02-03 18:45:23
131,Wairoa,-39.0333,177.3667,55.0,91,37,1.99,NZ,2021-02-03 18:45:24
132,Along,28.1667,94.7667,51.39,56,0,2.26,IN,2021-02-03 18:45:24
133,Asosa,10.0667,34.5333,72.57,23,18,3.94,ET,2021-02-03 18:45:24
134,Saskylakh,71.9167,114.0833,-17.97,86,99,13.38,RU,2021-02-03 18:45:24
135,Jinka,5.65,36.65,71.91,33,0,1.36,ET,2021-02-03 18:45:24
136,Talnakh,69.4865,88.3972,-19.48,86,100,3.69,RU,2021-02-03 18:45:17
137,Northam,51.0333,-4.2167,46.99,91,0,5.01,GB,2021-02-03 18:45:24
138,Ambilobe,-13.2,49.05,76.66,88,69,1.54,MG,2021-02-03 18:45:24
139,Iqaluit,63.7506,-68.5145,-5.8,71,90,3.44,CA,2021-02-03 18:45:24
140,Tshikapa,-6.4167,20.8,72.48,90,91,5.28,CD,2021-02-03 18:45:24
141,Hay River,60.8156,-115.7999,-13.0,70,100,8.05,CA,2021-02-03 18:45:25
142,Leh,34.1667,77.5833,7.16,64,99,4.0,IN,2021-02-03 18:45:25
143,Port-Gentil,-0.7193,8.7815,84.2,74,40,8.05,GA,2021-02-03 18:45:25
144,Provideniya,64.3833,-173.3,-5.89,83,100,13.44,RU,2021-02-03 18:45:25
145,Pevek,69.7008,170.3133,-10.05,74,0,6.96,RU,2021-02-03 18:45:25
146,Huejuquilla El Alto,22.6,-103.8667,76.82,28,100,4.94,MX,2021-02-03 18:45:25
147,Inhambane,-23.865,35.3833,84.2,89,75,4.41,MZ,2021-02-03 18:40:56
148,Beringovskiy,63.05,179.3167,5.4,94,95,11.92,RU,2021-02-03 18:45:25
149,Butaritari,3.0707,172.7902,81.41,84,34,17.0,KI,2021-02-03 18:45:26
150,Leningradskiy,69.3833,178.4167,-22.09,84,100,13.15,RU,2021-02-03 18:45:26
151,La Ronge,55.1001,-105.2842,8.6,72,100,10.36,CA,2021-02-03 18:45:26
152,Carnarvon,-24.8667,113.6333,75.2,100,90,24.16,AU,2021-02-03 18:45:20
153,Ketchikan,55.3422,-131.6461,37.4,86,90,5.75,US,2021-02-03 18:45:26
154,Porto Novo,6.4965,2.6036,86.0,79,20,12.66,BJ,2021-02-03 18:45:26
155,San Patricio,28.017,-97.5169,75.0,56,75,16.11,US,2021-02-03 18:45:24
156,Pangnirtung,66.1451,-65.7125,-14.8,64,20,1.43,CA,2021-02-03 18:45:26
157,Kaitangata,-46.2817,169.8464,54.0,65,81,11.01,NZ,2021-02-03 18:45:26
158,San Vicente,-26.6167,-54.1333,87.73,53,96,4.85,AR,2021-02-03 18:45:26
159,Sao Filipe,14.8961,-24.4956,73.8,73,100,11.43,CV,2021-02-03 18:45:27
160,Guerrero Negro,27.9769,-114.0611,69.64,53,97,9.44,MX,2021-02-03 18:45:27
161,Tuatapere,-46.1333,167.6833,47.08,87,21,4.9,NZ,2021-02-03 18:45:27
162,Laguna,38.421,-121.4238,51.01,81,90,4.61,US,2021-02-03 18:45:27
163,Tautira,-17.7333,-149.15,84.2,70,20,3.44,PF,2021-02-03 18:45:27
164,Sinnamary,5.3833,-52.95,79.57,82,100,17.02,GF,2021-02-03 18:45:27
165,Uruzgan,32.8333,66.0,38.25,67,0,0.78,AF,2021-02-03 18:45:27
166,Turukhansk,65.8167,87.9833,-6.2,91,97,5.3,RU,2021-02-03 18:45:27
167,Chapada Dos Guimaraes,-15.4606,-55.7497,80.6,89,75,5.75,BR,2021-02-03 18:44:53
168,Arandis,-22.4167,14.9667,68.0,83,95,5.86,NA,2021-02-03 18:45:27
169,Bengkulu,-3.8004,102.2655,75.45,86,100,5.73,ID,2021-02-03 18:45:27
170,Lakatoro,-16.0999,167.4164,79.16,78,100,6.33,VU,2021-02-03 18:45:28
171,Natal,-5.795,-35.2094,87.8,55,0,19.57,BR,2021-02-03 18:43:22
172,Mitsamiouli,-11.3847,43.2844,83.39,68,100,4.0,KM,2021-02-03 18:45:28
173,Kenai,60.5544,-151.2583,12.2,85,90,3.44,US,2021-02-03 18:45:28
174,Kulhudhuffushi,6.6221,73.07,81.81,69,43,7.25,MV,2021-02-03 18:45:28
175,Norman Wells,65.282,-126.8329,-34.6,67,75,5.75,CA,2021-02-03 18:45:28
176,Padre Bernardo,-15.35,-48.5,82.71,65,100,3.58,BR,2021-02-03 18:45:28
177,Sosnovka,56.255,51.2842,7.59,94,94,6.22,RU,2021-02-03 18:45:28
178,Alyangula,-13.8483,136.4192,80.6,100,75,3.44,AU,2021-02-03 18:45:29
179,Romny,50.751,33.4747,33.4,99,100,11.3,UA,2021-02-03 18:45:29
180,Prescott,34.54,-112.4685,60.01,51,75,10.36,US,2021-02-03 18:45:29
181,Geraldton,-28.7667,114.6,73.4,64,0,23.02,AU,2021-02-03 18:45:29
182,Ngunguru,-35.6167,174.5,57.0,94,97,1.99,NZ,2021-02-03 18:45:29
183,Krasnovishersk,60.4078,57.082,1.83,94,93,3.53,RU,2021-02-03 18:45:29
184,Chavakkad,10.5333,76.05,78.8,83,81,3.44,IN,2021-02-03 18:45:29
185,Mongoumba,3.6415,18.5936,83.64,41,25,2.13,CF,2021-02-03 18:45:30
186,Tikrit,34.6071,43.6782,58.57,40,0,4.68,IQ,2021-02-03 18:45:30
187,Bykovo,55.6361,38.0803,26.01,93,75,4.47,RU,2021-02-03 18:45:30
188,Katsuura,35.1333,140.3,39.2,48,20,4.61,JP,2021-02-03 18:45:22
189,Seoul,37.5683,126.9778,30.2,58,0,14.97,KR,2021-02-03 18:45:20
