City_ID,City,Country,Max Temp,Current Weather,Lat,Lng,Hotel Name
538,Tutoia,BR,89.6,few clouds,-2.7619,-42.2744,Pousada Guará's
541,Coruripe,BR,84.56,scattered clouds,-10.1256,-36.1756,Pousada e Hotel Litoral Sul
544,Madang,PG,76.44,overcast clouds,-5.2246,145.7966,Comfort Inn Hotel
554,Antsohihy,MG,76.37,overcast clouds,-14.8796,47.9875,Hotel de Ville
558,Oistins,BB,84.2,few clouds,13.0667,-59.5333,Butterfly Beach Hotel
560,Cukai,MY,77.0,scattered clouds,4.25,103.4167,OYO 90038 Dalyla Inn Chalet
563,Piacabucu,BR,85.1,clear sky,-10.4056,-36.4344,Piaçabuçu News
569,Paredon,MX,84.88,clear sky,16.0333,-93.8667,Hotel Principal Paredon
570,Dapaong,TG,84.49,clear sky,10.8639,0.205,Hotel Caroli
572,Pedreiras,BR,85.86,few clouds,-4.5688,-44.6003,Hotel Princesa do Mearim
574,Ciudad Guayana,VE,87.01,overcast clouds,8.3533,-62.6528,Hotel Las Americas
575,Sinnamary,GF,78.91,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
578,Horqueta,PY,85.48,clear sky,-23.3428,-57.0597,Hospedaje Heina
583,Catarama,EC,87.8,light rain,-1.5833,-79.4667,Hotel Ricaurte
587,Princeton,US,75.2,overcast clouds,25.5384,-80.4089,American Best Inn
590,Bundaberg,AU,75.99,scattered clouds,-24.85,152.35,Takalvan Motel
591,Alice Town,BS,76.08,clear sky,25.7167,-79.3,Bimini Big Game Club Resort & Marina
597,Itacoatiara,BR,89.89,very heavy rain,-3.1431,-58.4442,BBB Rooms Centro Itacoatiara AM
599,Cockburn Town,TC,82.4,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
606,Cotonou,BJ,86.0,few clouds,6.3654,2.4183,Novotel Cotonou Orisha
610,Mattru,SL,82.72,broken clouds,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
613,Trincomalee,LK,78.53,scattered clouds,8.5711,81.2335,Welcombe Hotel
616,Port-Gentil,GA,82.4,moderate rain,-0.7193,8.7815,Fengshui Residence
617,Betioky,MG,76.46,clear sky,-23.7167,44.3833,Bungalows Acacias Hotel
624,Kirakira,SB,79.66,overcast clouds,-10.4544,161.9205,SanBiz Lodge
630,Maldonado,UY,82.4,clear sky,-34.6667,-54.9167,La Cimarrona
632,Gombong,ID,76.59,light rain,-7.6072,109.5142,Grafika Hotel Dan Restoran
633,Barreirinhas,BR,85.64,scattered clouds,-2.7469,-42.8264,Gran Lençóis Flat Residence
637,Noumea,NC,77.0,few clouds,-22.2763,166.4572,Hôtel Le Lagon
638,Manadhoo,MV,81.68,clear sky,5.7667,73.3833,Vevu Guesthouse
641,Pontianak,ID,77.0,overcast clouds,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
653,Bousse,BF,89.6,dust,12.6606,-1.8922,Maison d'hôtes EBEN-EZER DE BOUSSE
656,Padang,ID,75.2,few clouds,-0.9492,100.3543,Mercure Padang
664,Kimbe,PG,77.32,light rain,-5.5502,150.1429,Kimbe Bay Hotel
667,Amahai,ID,78.87,overcast clouds,-3.3333,128.9167,HOTEL ISABELA
668,Los Arabos,CU,89.31,moderate rain,22.7281,-80.7214,Motel Los Pinos
676,Porto Nacional,BR,82.4,heavy intensity rain,-10.7081,-48.4172,Vila Real Hotel
677,Alugan,PH,79.2,overcast clouds,12.2188,125.4808,JM Lodge
682,Hualmay,PE,75.22,broken clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
686,Esmeralda,CU,89.6,scattered clouds,21.8525,-78.1169,Centro de Pioneros Exploradores
690,Eseka,CM,78.19,clear sky,3.65,10.7667,Complexe Hotelier Ndjiki Mpeck Eseka II
704,Mampong,GH,83.95,broken clouds,7.0627,-1.4001,Adom Upscale Hotel
